,Direccion,Mesa,Comuna
420,CABILDO 3986,101 M,San Joaquin
421,CABILDO 3986,78 M,San Joaquin
422,ALVARES DE TOLEDO 344,61 M,San Joaquin
423,AV. LAS INDUSTRIAS 5160,8 V,San Joaquin
424,CABILDO 3986,125 M,San Joaquin
425,LAS VILLAS,SAN JOAQUIN,San Joaquin
426,JORGR CANINNG 661,33 M,San Joaquin
427,PASAJE HORNOPIREN 6389 VILLA BRASIL,87 V,San Joaquin
428,PASAJE HORNOPIREN 6389,82 V,San Joaquin
429,FRANCISCA DE RIMINI 3509,39 V,San Joaquin
430,DOMICILIO,CIRCUNSCRIPCIÓN,San Joaquin
431,FCA. DE RIMINI 3509 C,36 M,San Joaquin
432,FRANCISCA DE RIMINI 3509,80 M,San Joaquin
433,FRANCISCA DE RIMINI 3509,62 M,San Joaquin
434,PASAJE RIETER 3456,56 M,San Joaquin
435,PASAJE RIETER 3456,108 V,San Joaquin
436,SUMAR 1 RIETER 3476,44 V,San Joaquin
437,ARQUIETCTO BIANCHI 190,137 M,San Joaquin
438,PJE-RIETER 3456 POBL ZUMAR,30 V,San Joaquin
439,RIETER 3456,134 M,San Joaquin
440,ARQUITECTO BIANCHI 190,78 V,San Joaquin
441,AV. LA CASTRINA 347,30 V,San Joaquin
442,VENOZZO GOZOLLI 4495,100 V,San Joaquin
443,VENOZZO GOZOLLI 4697,92 V,San Joaquin
444,NUREMBERG 462,69 V,San Joaquin
445,VENOZZO GOZOLLI 4697,92 M,San Joaquin
446,PINTOR SMITH 430,41 V,San Joaquin
447,VENOZZO GOZOLLI 4697,72 V,San Joaquin
448,AV VICUÑA MACKENNA 3137,6 V,San Joaquin
449,PJ M PLAZA 194 VI T EDISON,21 M,San Joaquin
450,AQUELARRE 7,44 M,San Joaquin
451,ENRIQUE SORO 295,102 V,San Joaquin
452,SANTA CATALINA 3292,66 M,San Joaquin
453,STA CATALINA 3285,65 M,San Joaquin
454,PJ LAS MELOSAS 252 PB NAVARRETE,133 M,San Joaquin
455,PENTAGRAMA 412 -B,123 M,San Joaquin
456,INDUSTRIAS 307,100 M,San Joaquin
457,CORELLI BL 142 DEPTO 14,108 V,San Joaquin
458,"PJE. UNO, RIO LAUCA 4649",3 V,San Joaquin
459,JUAN PLANA 5782,66 V,San Joaquin
460,PJ 14 60 74 PB J E BELLO SUR,86 M,San Joaquin
461,LAS ANTILLAS 6257 LA CATRINA,50 V,San Joaquin
462,FRANCISCO ZARATE 3271,55 M,San Joaquin
463,FRANCISCO DE ZARATE 3271,69 M,San Joaquin
464,FRANCISCO DE ZARATE 3271,4 V,San Joaquin
465,PJE VOLCAN LICANCABUR 147,3 M,San Joaquin
466,POZO AL MONTE 218,70 M,San Joaquin
467,PASAJE POZO ALMONTE 218 J E BELLO,29 V,San Joaquin
468,BERLIOZ 6226,48 M,San Joaquin
469,"GABRIELA M, 183",7 V,San Joaquin
470,BOTICELLI,SAN JOAQUIN,San Joaquin
471,PIRAMIDE 357,97 V,San Joaquin
472,FRANCIA 5638,63 V,San Joaquin
473,CARMEN 2446,75 M,San Joaquin
474,VARAS MENA 456,83 M,San Joaquin
475,P CICARELLI 526 DEPTO 76,76 M,San Joaquin
476,PJ 3 FRANCIA 149,93 M,San Joaquin
